,id,cluster_hood,cluster_lat,cluster_long,average_costs
45,nyu_2451_34572.46,Edenwald,40.88456130303732,-73.84808271877168,1625
46,nyu_2451_34572.47,Bay Ridge,40.625801065010656,-74.03062069353813,2604
47,nyu_2451_34572.48,Bensonhurst,40.61100890202044,-73.99517998380729,2498
48,nyu_2451_34572.49,Sunset Park,40.64510294925429,-74.01031618527784,1966
49,nyu_2451_34572.50,Greenpoint,40.7302009848647,-73.95424093127393,2985
50,nyu_2451_34572.51,Gravesend,40.59526001306593,-73.97347087708445,3079
51,nyu_2451_34572.52,Brighton Beach,40.57682506566604,-73.96509448785336,1883
52,nyu_2451_34572.53,Sheepshead Bay,40.58689012678384,-73.94318640482979,1812
53,nyu_2451_34572.54,Manhattan Terrace,40.61443251335098,-73.95743840559939,1875
54,nyu_2451_34572.55,Flatbush,40.63632589026677,-73.95840106533903,2590
55,nyu_2451_34572.56,Crown Heights,40.67082917695294,-73.94329119073582,1963
56,nyu_2451_34572.57,East Flatbush,40.64171776668961,-73.93610256185836,2125
57,nyu_2451_34572.58,Kensington,40.642381958003526,-73.98042110559474,1724
58,nyu_2451_34572.59,Windsor Terrace,40.65694583575104,-73.98007340430172,3460
59,nyu_2451_34572.60,Prospect Heights,40.67682226225472,-73.9648592426269,4110
60,nyu_2451_34572.61,Brownsville,40.66394994339755,-73.91023536176607,1817
61,nyu_2451_34572.62,Williamsburg,40.70714439344251,-73.95811529220927,3138
62,nyu_2451_34572.63,Bushwick,40.69811611017901,-73.92525797487045,2250
63,nyu_2451_34572.64,Bedford Stuyvesant,40.687231607720456,-73.94178488690297,2542
64,nyu_2451_34572.65,Brooklyn Heights,40.69586372272408,-73.99378225496424,4064
65,nyu_2451_34572.66,Cobble Hill,40.68791972248557,-73.99856139218463,3462
66,nyu_2451_34572.67,Carroll Gardens,40.680540231076485,-73.99465372828006,3462
67,nyu_2451_34572.68,Red Hook,40.676253230250886,-74.0127589747356,3462
68,nyu_2451_34572.69,Gowanus,40.673931143187154,-73.99444087145339,3462
69,nyu_2451_34572.70,Fort Greene,40.68852726018977,-73.97290574369092,2567
70,nyu_2451_34572.71,Park Slope,40.67232052268197,-73.97705030183924,3460
71,nyu_2451_34572.72,Cypress Hills,40.68239101144211,-73.87661596457296,1947
72,nyu_2451_34572.73,East New York,40.669925700847045,-73.88069863917366,1773
73,nyu_2451_34572.74,Starrett City,40.64758905230874,-73.87936970045875,1773
74,nyu_2451_34572.75,Canarsie,40.63556432797428,-73.90209269778966,1817
75,nyu_2451_34572.76,Flatlands,40.630446043757466,-73.92911302644674,1933
76,nyu_2451_34572.77,Mill Island,40.606336421685626,-73.90818571777423,1933
77,nyu_2451_34572.78,Manhattan Beach,40.57791350308657,-73.94353722891886,1812
78,nyu_2451_34572.79,Coney Island,40.57429256471601,-73.98868295821637,1883
79,nyu_2451_34572.80,Bath Beach,40.59951870282238,-73.99875221443519,2498
80,nyu_2451_34572.81,Borough Park,40.633130512758015,-73.99049823044811,1724
81,nyu_2451_34572.82,Dyker Heights,40.61921945772264,-74.01931375636022,2604
82,nyu_2451_34572.83,Gerritsen Beach,40.590848433902046,-73.93010170691196,1812
83,nyu_2451_34572.84,Marine Park,40.609747779894604,-73.93134404108497,1933
84,nyu_2451_34572.85,Clinton Hill,40.693229421881504,-73.96784306216367,4110
85,nyu_2451_34572.86,Sea Gate,40.57637537890224,-74.0078731120024,2133
86,nyu_2451_34572.87,Downtown,40.69084402109802,-73.98346337431099,3556
87,nyu_2451_34572.88,Boerum Hill,40.68568291209144,-73.98374824115798,2567
88,nyu_2451_34572.89,Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,2590
89,nyu_2451_34572.90,Ocean Hill,40.67840255479536,-73.91306831787395,2250
90,nyu_2451_34572.91,City Line,40.67856995727479,-73.86797598081334,1702
91,nyu_2451_34572.92,Bergen Beach,40.61514955045308,-73.89855633630317,1817
92,nyu_2451_34572.93,Midwood,40.62559589869843,-73.95759523489838,1875
93,nyu_2451_34572.94,Prospect Park South,40.64700860318519,-73.96261316716048,2590
94,nyu_2451_34572.95,Georgetown,40.62384524478419,-73.91607483951324,1933
95,nyu_2451_34572.96,East Williamsburg,40.70849241041548,-73.93885815269195,3138
