neighborhood,average price,type,,,,,,,,
Fordham Heights,"$1,625",1_bedroom,,,,,,,,
Forest Park,"$1,700",1_bedroom,,,,,,,,
Bergen Beach,"$1,500",1_bedroom,,,,,,,,
Little Neck,"$1,875",1_bedroom,,,,,,,,
Westerleigh,"$1,250",1_bedroom,,,,,,,,
West Brighton,"$2,400",1_bedroom,,,,,,,,
Jamaica Hills,"$1,600",1_bedroom,,,,,,,,
Unionport,"$1,600",1_bedroom,,,,,,,,
Van Nest,"$1,875",1_bedroom,,,,,,,,
Hunts Point,"$1,350",1_bedroom,,,,,,,,
Pomonok,"$1,700",1_bedroom,,,,,,,,
Bedford Park,"$1,525",1_bedroom,,,,,,,,
Marine Park,"$1,650",1_bedroom,,,,,,,,
Morris Heights,"$1,625",1_bedroom,,,,,,,,
New Dorp,"$1,550",1_bedroom,,,,,,,,
Fordham Manor,"$1,688",1_bedroom,,,,,,,,
Roosevelt Island,"$2,825",1_bedroom,,,,,,,,
Coney Island,"$2,250",1_bedroom,,,,,,,,
Mount Eden,"$1,685",1_bedroom,,,,,,,,
New Springville,"$1,450",1_bedroom,,,,,,,,
Concord,"$1,300",1_bedroom,,,,,,,,
Springfield Gardens,"$2,050",1_bedroom,,,,,,,,
Rosebank,"$1,550",1_bedroom,,,,,,,,
Eltingville,"$1,300",1_bedroom,,,,,,,,
Prince's Bay,"$1,400",1_bedroom,,,,,,,,
Dongan Hills,"$1,300",1_bedroom,,,,,,,,
Westchester Village,"$1,700",1_bedroom,,,,,,,,
Manhattan Beach,"$1,775",1_bedroom,,,,,,,,
Pelham Parkway,"$1,899",1_bedroom,,,,,,,,
Vinegar Hill,"$2,400",1_bedroom,,,,,,,,
Oakwood,"$1,395",1_bedroom,,,,,,,,
Woodlawn Heights,"$1,700",1_bedroom,,,,,,,,
Prospect Park,"$2,300",1_bedroom,,,,,,,,
University Heights,"$1,650",1_bedroom,,,,,,,,
Annadale,"$1,450",1_bedroom,,,,,,,,
Grymes Hill,"$1,500",1_bedroom,,,,,,,,
Belmont,"$1,650",1_bedroom,,,,,,,,
Willowbrook,"$1,200",1_bedroom,,,,,,,,
Melrose,"$1,600",1_bedroom,,,,,,,,
Rossville,"$1,400",1_bedroom,,,,,,,,
Sea Gate,"$1,650",1_bedroom,,,,,,,,
Clearview,"$1,500",1_bedroom,,,,,,,,
Tottenville,"$1,400",1_bedroom,,,,,,,,
Marble Hill,"$1,400",1_bedroom,,,,,,,,
Bulls Head,"$1,100",1_bedroom,,,,,,,,
Woodrow,"$1,400",1_bedroom,,,,,,,,
West Farms,"$1,500",1_bedroom,,,,,,,,
Foxhurst,"$1,550",1_bedroom,,,,,,,,
Bronx Park,"$1,500",1_bedroom,,,,,,,,
Country Club,"$1,750",1_bedroom,,,,,,,,
Fort Wadsworth,"$3,350",1_bedroom,,,,,,,,
Holliswood,"$1,895",1_bedroom,,,,,,,,
Huguenot,"$1,350",1_bedroom,,,,,,,,
Flushing Meadows-Corona Park,"$1,975",1_bedroom,,,,,,,,
Manor Heights,"$1,200",1_bedroom,,,,,,,,
Blissville,"$1,600",1_bedroom,,,,,,,,
Van Cortlandt Park,"$1,500",1_bedroom,,,,,,,,
Brooklyn Navy Yard,"$3,395",1_bedroom,,,,,,,,
Upper West Side,"$4,350",2_bedroom,,,,,,,,
Bedford-Stuyvesant,"$2,200",2_bedroom,,,,,,,,
Bushwick,"$2,100",2_bedroom,,,,,,,,
Upper East Side,"$3,295",2_bedroom,,,,,,,,
Williamsburg,"$2,584",2_bedroom,,,,,,,,
Astoria,"$2,200",2_bedroom,,,,,,,,
Hell's Kitchen,"$3,900",2_bedroom,,,,,,,,
Crown Heights,"$2,200",2_bedroom,,,,,,,,
Midtown East,"$4,600",2_bedroom,,,,,,,,
Chelsea,"$4,959",2_bedroom,,,,,,,,
Flatbush,"$2,117",2_bedroom,,,,,,,,
Financial District,"$3,650",2_bedroom,,,,,,,,
Long Island City,"$3,300",2_bedroom,,,,,,,,
