,borough,neighborhood,longitude,latitude,population,PC1,PC2,PC3,cluster
71,Brooklyn,Cypress Hills,-73.87661596457296,40.68239101144211,24612.0,-1.7828720944411691,-4.2211468181013565,2.4831358493102718,0
72,Brooklyn,East New York,-73.88069863917366,40.669925700847045,91958.0,-3.710600595924997,-0.7992007054737353,0.6875384614458687,0
73,Brooklyn,Starrett City,-73.87936970045875,40.64758905230874,13354.0,-3.908541541708284,1.6563186189758867,-1.004970815120736,0
74,Brooklyn,Canarsie,-73.90209269778966,40.63556432797428,83693.0,-3.75459210411028,0.7484776869704898,0.36536067043485965,0
75,Brooklyn,Flatlands,-73.92911302644674,40.630446043757466,64762.0,-3.203766628031431,-0.9871743259253792,0.4657061535465358,0
76,Brooklyn,Mill Island,-73.90818571777423,40.606336421685626,13000.0,-4.240078551179869,2.2308496706731735,-1.0931512011921434,0
77,Brooklyn,Manhattan Beach,-73.94353722891886,40.57791350308657,21506.0,-3.588326448201857,1.6264348442239205,-1.486043873064334,0
78,Brooklyn,Coney Island,-73.98868295821637,40.57429256471601,15982.0,-3.4337773865310672,0.2899837865967217,-0.802058381249959,0
79,Brooklyn,Bath Beach,-73.99875221443519,40.59951870282238,29931.0,1.2544076753062594,-3.356587483588833,5.992752828318542,-1
80,Brooklyn,Borough Park,-73.99049823044811,40.633130512758015,106357.0,-0.37539853763177633,-3.833299764097529,0.3471729619187981,0
81,Brooklyn,Dyker Heights,-74.01931375636022,40.61921945772264,42419.0,-1.7402367047364182,1.2418622275283602,-0.19798787560593817,0
82,Brooklyn,Gerritsen Beach,-73.93010170691196,40.590848433902046,21506.0,-3.3555309693626874,1.2552822208577699,-1.6979093103361467,0
83,Brooklyn,Marine Park,-73.93134404108497,40.609747779894604,11308.0,-3.7455304155457094,1.1727173850492214,-0.4042723380202575,0
84,Brooklyn,Clinton Hill,-73.96784306216367,40.693229421881504,34791.0,6.226778793892239,-1.2908409498692126,0.7921297139539273,3
85,Brooklyn,Sea Gate,-74.0078731120024,40.57637537890224,15982.0,-4.239993283477073,1.9430201069193949,-1.4228976128366462,0
86,Brooklyn,Downtown,-73.98346337431099,40.69084402109802,8624.0,6.805921333145964,1.5602180806607826,0.5357663049403248,3
87,Brooklyn,Boerum Hill,-73.98374824115798,40.68568291209144,8624.0,7.258233889557839,-4.043425981738475,-2.1366388009850423,2
88,Brooklyn,Prospect Lefferts Gardens,-73.95489867077713,40.658420017469815,21242.0,4.417400534223672,-2.8078861477671406,-0.9283018375663417,0
89,Brooklyn,Ocean Hill,-73.91306831787395,40.67840255479536,31935.0,-1.9326418646039865,-1.3504219379230784,-0.07818045402710821,0
90,Brooklyn,City Line,-73.86797598081334,40.67856995727479,24612.0,-2.532621753043126,-1.9171441975390968,1.622766048127497,0
91,Brooklyn,Bergen Beach,-73.89855633630317,40.61514955045308,11308.0,-4.522574734525261,2.3928354455409004,-1.7752750170091167,0
92,Brooklyn,Midwood,-73.95759523489838,40.62559589869843,52835.0,-2.0079726933471633,0.16637155082650457,-0.6619236179587014,0
93,Brooklyn,Prospect Park South,-73.96261316716048,40.64700860318519,2500.0,-0.24437703642312902,-3.728456783957473,3.056351727631614,0
94,Brooklyn,Georgetown,-73.91607483951324,40.62384524478419,11308.0,-1.3229501080147879,0.46105536054927015,-0.509696398651395,0
95,Brooklyn,East Williamsburg,-73.93885815269195,40.70849241041548,34158.0,9.076900360542242,-0.9672587124907178,-1.9915628478477638,2
96,Brooklyn,North Side,-73.95880857587582,40.714822906532014,21242.0,11.529151005498441,5.636495584351219,-4.145857708145843,-1
97,Brooklyn,South Side,-73.95800095153331,40.71086147265064,21242.0,7.872835967925047,0.988292753489548,-3.515692256366113,2
98,Brooklyn,Ocean Parkway,-73.96836678035541,40.61305976667942,38744.0,-0.6061850345412997,-5.012108217898035,0.42408680364681256,0
99,Brooklyn,Fort Hamilton,-74.03197914537984,40.61476812694226,3000.0,0.869427699929579,-0.6080972571808477,-1.0056010616301398,0
