,neighborhood,borough,coordinates,longitude,latitude
88,Prospect Lefferts Gardens,Brooklyn,"[-73.95489867077713, 40.658420017469815]",-73.95489867077713,40.658420017469815
89,Ocean Hill,Brooklyn,"[-73.91306831787395, 40.678402554795355]",-73.91306831787395,40.678402554795355
90,City Line,Brooklyn,"[-73.86797598081334, 40.67856995727479]",-73.86797598081334,40.67856995727479
91,Bergen Beach,Brooklyn,"[-73.89855633630317, 40.61514955045308]",-73.89855633630317,40.61514955045308
92,Midwood,Brooklyn,"[-73.95759523489838, 40.62559589869843]",-73.95759523489838,40.62559589869843
93,Prospect Park South,Brooklyn,"[-73.96261316716048, 40.647008603185185]",-73.96261316716048,40.647008603185185
94,Georgetown,Brooklyn,"[-73.91607483951324, 40.62384524478419]",-73.91607483951324,40.62384524478419
95,East Williamsburg,Brooklyn,"[-73.93885815269195, 40.70849241041548]",-73.93885815269195,40.70849241041548
96,North Side,Brooklyn,"[-73.95880857587582, 40.714822906532014]",-73.95880857587582,40.714822906532014
97,South Side,Brooklyn,"[-73.95800095153331, 40.71086147265064]",-73.95800095153331,40.71086147265064
98,Ocean Parkway,Brooklyn,"[-73.96836678035541, 40.61305976667942]",-73.96836678035541,40.61305976667942
99,Fort Hamilton,Brooklyn,"[-74.03197914537984, 40.61476812694226]",-74.03197914537984,40.61476812694226
100,Chinatown,Manhattan,"[-73.99427936255978, 40.71561842231432]",-73.99427936255978,40.71561842231432
101,Washington Heights,Manhattan,"[-73.93690027985234, 40.85190252555305]",-73.93690027985234,40.85190252555305
102,Inwood,Manhattan,"[-73.92121042203897, 40.86768396449915]",-73.92121042203897,40.86768396449915
103,Hamilton Heights,Manhattan,"[-73.94968791883366, 40.823604284811935]",-73.94968791883366,40.823604284811935
104,Manhattanville,Manhattan,"[-73.9573853935188, 40.8169344294978]",-73.9573853935188,40.8169344294978
105,Central Harlem,Manhattan,"[-73.94321112603905, 40.81597606742414]",-73.94321112603905,40.81597606742414
106,East Harlem,Manhattan,"[-73.94418223148524, 40.79224946663033]",-73.94418223148524,40.79224946663033
107,Upper East Side,Manhattan,"[-73.96050763135, 40.775638573301805]",-73.96050763135,40.775638573301805
108,Yorkville,Manhattan,"[-73.94711784471826, 40.775929849884875]",-73.94711784471826,40.775929849884875
109,Lenox Hill,Manhattan,"[-73.9588596881376, 40.76811265828733]",-73.9588596881376,40.76811265828733
110,Roosevelt Island,Manhattan,"[-73.94916769227953, 40.76215960576283]",-73.94916769227953,40.76215960576283
111,Upper West Side,Manhattan,"[-73.97705923630603, 40.787657998534854]",-73.97705923630603,40.787657998534854
112,Lincoln Square,Manhattan,"[-73.98533777001262, 40.77352888942166]",-73.98533777001262,40.77352888942166
113,Clinton,Manhattan,"[-73.99611936309479, 40.75910089146212]",-73.99611936309479,40.75910089146212
114,Midtown,Manhattan,"[-73.98166882730304, 40.75469110270623]",-73.98166882730304,40.75469110270623
115,Murray Hill,Manhattan,"[-73.97833207924127, 40.748303077252174]",-73.97833207924127,40.748303077252174
116,Chelsea,Manhattan,"[-74.00311633472813, 40.744034706747975]",-74.00311633472813,40.744034706747975
117,Greenwich Village,Manhattan,"[-73.99991402945902, 40.72693288536128]",-73.99991402945902,40.72693288536128
