,id,borough,neighborhood,longitude,latitude,population,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level,yelp_category
87,nyu_2451_34572.88,Brooklyn,Boerum Hill,-73.98374824115798,40.685682912091444,8624.0,53,1031,4.3,2,breakfast_brunch
88,nyu_2451_34572.89,Brooklyn,Prospect Lefferts Gardens,-73.95489867077713,40.658420017469815,21242.0,20,377,4.2,1,caribbean
89,nyu_2451_34572.90,Brooklyn,Ocean Hill,-73.91306831787395,40.678402554795355,31935.0,20,176,4.1,1,sandwiches
90,nyu_2451_34572.91,Brooklyn,City Line,-73.86797598081334,40.67856995727479,24612.0,20,193,4.1,1,chinese
91,nyu_2451_34572.92,Brooklyn,Bergen Beach,-73.89855633630317,40.61514955045308,11308.0,3,110,4.4,2,N
92,nyu_2451_34572.93,Brooklyn,Midwood,-73.95759523489838,40.62559589869843,52835.0,18,529,3.8,2,pizza
93,nyu_2451_34572.94,Brooklyn,Prospect Park South,-73.96261316716048,40.647008603185185,2500.0,20,334,3.9,2,caribbean
94,nyu_2451_34572.95,Brooklyn,Georgetown,-73.91607483951324,40.62384524478419,11308.0,15,273,4.0,2,italian
95,nyu_2451_34572.96,Brooklyn,East Williamsburg,-73.93885815269195,40.70849241041548,34158.0,20,495,4.3,2,cocktailbars
96,nyu_2451_34572.97,Brooklyn,North Side,-73.95880857587582,40.714822906532014,21242.0,20,719,4.4,2,newamerican
97,nyu_2451_34572.98,Brooklyn,South Side,-73.95800095153331,40.71086147265064,21242.0,20,393,4.4,2,cocktailbars
98,nyu_2451_34572.99,Brooklyn,Ocean Parkway,-73.96836678035541,40.61305976667942,38744.0,33,403,4.3,2,kosher
99,nyu_2451_34572.100,Brooklyn,Fort Hamilton,-74.03197914537984,40.61476812694226,3000.0,26,316,4.3,2,pizza
100,nyu_2451_34572.101,Manhattan,Chinatown,-73.99427936255978,40.71561842231432,47844.0,20,849,4.4,2,chinese
101,nyu_2451_34572.102,Manhattan,Washington Heights,-73.93690027985234,40.85190252555305,151574.0,20,434,4.3,1,coffee
102,nyu_2451_34572.103,Manhattan,Inwood,-73.92121042203897,40.86768396449915,23373.0,20,289,4.2,2,mexican
103,nyu_2451_34572.104,Manhattan,Hamilton Heights,-73.94968791883366,40.823604284811935,48520.0,20,505,4.3,2,mexican
104,nyu_2451_34572.105,Manhattan,Manhattanville,-73.9573853935188,40.8169344294978,22950.0,20,408,4.1,2,sandwiches
105,nyu_2451_34572.106,Manhattan,Central Harlem,-73.94321112603905,40.81597606742414,118665.0,20,328,4.2,2,caribbean
106,nyu_2451_34572.107,Manhattan,East Harlem,-73.94418223148524,40.79224946663033,115921.0,20,386,4.3,2,mexican
107,nyu_2451_34572.108,Manhattan,Upper East Side,-73.96050763135,40.775638573301805,30604.0,20,660,4.3,2,italian
108,nyu_2451_34572.109,Manhattan,Yorkville,-73.94711784471826,40.775929849884875,77942.0,40,446,4.3,2,breakfast_brunch
109,nyu_2451_34572.110,Manhattan,Lenox Hill,-73.9588596881376,40.76811265828733,40386.0,20,522,4.4,2,italian
110,nyu_2451_34572.111,Manhattan,Roosevelt Island,-73.94916769227953,40.76215960576283,40386.0,14,254,4.0,2,breakfast_brunch
111,nyu_2451_34572.112,Manhattan,Upper West Side,-73.97705923630603,40.787657998534854,132378.0,60,695,4.3,2,cocktailbars
112,nyu_2451_34572.113,Manhattan,Lincoln Square,-73.98533777001262,40.77352888942166,61489.0,20,939,4.3,2,newamerican
113,nyu_2451_34572.114,Manhattan,Clinton,-73.99611936309479,40.75910089146212,45884.0,20,797,4.2,2,newamerican
114,nyu_2451_34572.115,Manhattan,Midtown,-73.98166882730304,40.75469110270623,39930.0,20,2345,4.3,2,newamerican
115,nyu_2451_34572.116,Manhattan,Murray Hill,-73.97833207924127,40.748303077252174,51739.0,20,893,4.3,2,breakfast_brunch
116,nyu_2451_34572.181,Queens,Murray Hill,-73.81276269135866,40.764126122614066,51739.0,20,427,4.2,2,korean
117,nyu_2451_34572.117,Manhattan,Chelsea,-74.00311633472813,40.744034706747975,23383.0,20,1006,4.3,2,breakfast_brunch
118,nyu_2451_34572.245,Staten Island,Chelsea,-74.1895604551969,40.59472602746295,3000.0,7,295,4.5,2,steak
119,nyu_2451_34572.118,Manhattan,Greenwich Village,-73.99991402945902,40.72693288536128,23000.0,40,1090,4.4,2,italian
120,nyu_2451_34572.119,Manhattan,East Village,-73.98222616506416,40.727846777270244,44136.0,20,1030,4.4,2,breakfast_brunch
