,index,lodging,restaurant,school,health,bar,church,bank,store,clothing,tourist attraction,department store,office,electronics store,park,supermarket
190,nyu_2451_34572.190,0,6,5,5,3,1,2,9,3,0,0,0,0,6,1
191,nyu_2451_34572.191,1,27,12,7,10,2,7,38,9,0,0,3,1,9,6
192,nyu_2451_34572.192,1,17,5,4,2,16,2,16,0,0,0,4,1,10,10
193,nyu_2451_34572.193,4,13,8,0,1,16,4,13,6,0,1,2,2,6,5
194,nyu_2451_34572.194,0,27,12,4,2,13,4,17,1,2,0,4,7,8,3
195,nyu_2451_34572.195,9,60,27,10,27,52,12,60,47,4,1,12,7,9,20
196,nyu_2451_34572.196,0,60,27,14,27,15,38,59,32,3,2,16,11,14,12
197,nyu_2451_34572.197,4,53,14,11,7,26,10,52,17,1,1,17,2,11,8
198,nyu_2451_34572.198,5,59,25,11,12,35,8,53,24,1,1,29,1,17,13
199,nyu_2451_34572.199,0,53,15,8,15,50,9,51,15,1,1,12,4,13,13
200,nyu_2451_34572.200,3,36,11,3,9,21,5,35,8,2,1,6,0,10,11
201,nyu_2451_34572.201,1,37,12,2,5,28,8,28,10,3,0,2,2,8,4
202,nyu_2451_34572.202,1,38,20,6,10,40,14,48,17,1,1,9,2,15,14
203,nyu_2451_34572.203,0,17,6,3,2,4,4,11,3,0,0,0,2,6,2
204,nyu_2451_34572.204,0,17,7,8,0,1,7,11,3,1,0,4,3,5,2
205,nyu_2451_34572.205,2,60,18,8,11,47,13,60,18,2,5,6,9,9,15
206,nyu_2451_34572.206,0,53,13,5,6,19,15,31,15,1,5,5,10,7,12
207,nyu_2451_34572.207,0,9,1,2,0,13,2,6,1,0,0,0,0,6,2
208,nyu_2451_34572.208,0,34,10,6,5,14,16,19,4,1,0,5,0,6,6
209,nyu_2451_34572.209,0,16,9,12,3,4,6,18,8,2,2,6,6,3,4
210,nyu_2451_34572.210,3,10,1,3,1,0,0,6,0,1,0,2,3,4,0
