,id,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level
124,nyu_2451_34572.125,56,471,4.3,2
125,nyu_2451_34572.126,20,743,4.3,2
126,nyu_2451_34572.127,20,668,4.3,2
127,nyu_2451_34572.128,20,813,4.2,2
128,nyu_2451_34572.129,20,712,4.3,2
129,nyu_2451_34572.130,20,523,4.4,2
130,nyu_2451_34572.131,20,179,4.1,2
131,nyu_2451_34572.132,20,702,4.3,2
132,nyu_2451_34572.133,20,835,4.2,2
133,nyu_2451_34572.134,20,732,3.9,2
134,nyu_2451_34572.135,20,442,4.2,1
135,nyu_2451_34572.136,46,547,4.1,2
136,nyu_2451_34572.137,20,466,4.2,2
137,nyu_2451_34572.138,20,407,4.0,2
138,nyu_2451_34572.139,20,500,4.2,2
139,nyu_2451_34572.140,20,414,4.2,2
140,nyu_2451_34572.141,20,545,4.3,2
141,nyu_2451_34572.142,13,325,4.0,1
142,nyu_2451_34572.143,19,469,4.2,2
143,nyu_2451_34572.144,20,346,4.2,2
144,nyu_2451_34572.145,6,617,4.2,2
145,nyu_2451_34572.146,20,228,4.3,1
146,nyu_2451_34572.147,20,268,4.1,1
147,nyu_2451_34572.148,31,284,4.1,1
148,nyu_2451_34572.149,10,172,4.2,2
149,nyu_2451_34572.150,20,200,4.2,2
150,nyu_2451_34572.151,7,265,4.3,2
151,nyu_2451_34572.152,20,491,4.3,2
152,nyu_2451_34572.153,20,668,4.3,2
153,nyu_2451_34572.154,20,243,4.4,2
154,nyu_2451_34572.155,20,217,4.1,2
155,nyu_2451_34572.156,10,472,4.0,1
156,nyu_2451_34572.157,10,326,4.3,1
157,nyu_2451_34572.158,14,336,4.2,2
158,nyu_2451_34572.159,26,429,4.0,2
159,nyu_2451_34572.160,20,266,4.1,2
160,nyu_2451_34572.161,20,286,3.7,2
161,nyu_2451_34572.162,16,236,4.3,2
162,nyu_2451_34572.163,20,139,3.9,1
163,nyu_2451_34572.164,16,103,3.9,1
164,nyu_2451_34572.165,14,57,3.5,1
165,nyu_2451_34572.166,16,284,3.9,1
166,nyu_2451_34572.167,13,562,3.9,2
167,nyu_2451_34572.168,15,288,3.3,1
168,nyu_2451_34572.169,15,138,3.6,2
169,nyu_2451_34572.170,13,614,4.1,1
170,nyu_2451_34572.171,20,142,4.0,1
171,nyu_2451_34572.172,3,40,4.4,2
172,nyu_2451_34572.173,2,292,4.3,2
173,nyu_2451_34572.174,25,458,4.4,2
174,nyu_2451_34572.175,16,170,4.3,2
175,nyu_2451_34572.176,11,378,3.3,2
176,nyu_2451_34572.177,5,124,3.9,1
177,nyu_2451_34572.178,13,188,4.0,2
178,nyu_2451_34572.179,20,251,4.2,2
179,nyu_2451_34572.180,5,219,4.2,2
180,nyu_2451_34572.181,20,427,4.2,2
181,nyu_2451_34572.182,20,299,3.7,1
182,nyu_2451_34572.183,6,483,4.2,1
183,nyu_2451_34572.184,20,316,3.9,1
184,nyu_2451_34572.185,16,368,4.0,2
185,nyu_2451_34572.186,10,381,3.8,2
186,nyu_2451_34572.187,20,500,4.4,2
187,nyu_2451_34572.188,8,1059,4.1,2
188,nyu_2451_34572.189,15,370,4.0,1
189,nyu_2451_34572.190,20,682,4.3,2
190,nyu_2451_34572.191,6,201,4.2,2
191,nyu_2451_34572.192,20,181,4.3,2
192,nyu_2451_34572.193,6,155,4.4,2
193,nyu_2451_34572.194,3,340,3.9,1
